1,unmittelbare Anstellung,Q506999,,Q-1770 Person,1778,1779,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
812,Adjunctur  Friedrichroda,,,,Johann Lorenz Scheidler,Johann Lorenz Scheidler,unverändert,Schuldiener,Gräfenhayn,,,,,,,,,,,,,,,
813,Adjunctur  Friedrichroda,,,Q41980,Heinrich Valentin Freytag,Heinrich Valentin Freytag,unverändert,Pfarrer,Hohenkirchen,und Filiale Herrnhof,,,,,,,,,,,,,,
814,Adjunctur  Friedrichroda,,,,Johann Wilhelm Gottlieb Letsch,Johann Wilhelm Gottlieb Letsch,unverändert,Schuldiener,Hohenkirchen,,,,,,,,,,,,,,,
815,Adjunctur  Friedrichroda,,,Q192983,Johann Georg Erdmann,Johann Georg Erdmann,unverändert,Schuldiener,Hohenkirchen,zu Herrnhof,,,,,,,,,,,,,,
816,Adjunctur  Friedrichroda,,,Q42525,Johann Jacob Grosch,Johann Jacob Grosch,unverändert,Pfarrer,Rödichen,,,,,,,,,,,,,,,
817,Adjunctur  Friedrichroda,,,,Johann Gabriel Franck,Johann Gabriel Franck,unverändert,Schuldiener,Rödichen,,,,,,,,,,,,,,,
818,Adjunctur  Friedrichroda,,,Q41787,Georg Caspar Brehm,Georg Caspar Brehm,unverändert,Pfarrer,Schönau,und Filiale Wipperoda,,,,,,,,,,,,,,
819,Adjunctur  Friedrichroda,,,,Johann Baumbach,Johann Baumbach,unverändert,Schuldiener,Schönau,,,,,,,,,,,,,,,
820,Adjunctur  Friedrichroda,,,,Christian Friedrich Weber,Christian Friedrich Weber,unverändert,Schuldiener,Schönau,zu Wipperoda,,,,,,,,,,,,,,
821,Adjunctur  Friedrichroda,,,Q42478,Johann Heinrich Catterfeld,Johann Heinrich Catterfeld,unverändert,Pfarrer,Tambach,,,,,,,,,,,,,,,
822,Adjunctur  Friedrichroda,,,Q42371,Johann Friedrich Klein,Johann Friedrich Klein,unverändert,Diacon ,Tambach,Pfarrer auf dem Filial Diethartz,,,,,,,,,,,,,,
823,Adjunctur  Friedrichroda,,,Q158944,Michael Ernst Mehlis,Michael Ernst Mehlis,unverändert,Rector zu Tambach,Tambach,,,,,,,,,,,,,,,
824,Adjunctur  Friedrichroda,,,,Johann Volkmar Weber,Johann Volkmar Weber,unverändert,Cantor,Tambach,,,,,,,,,,,,,,,
825,Adjunctur  Friedrichroda,,,,Johann Heinrich Ulrich,Johann Heinrich Ulrich,unverändert,Organist,Tambach,,,,,,,,,,,,,,,
826,Adjunctur  Friedrichroda,,,,Johann Andreas Schneider,Johann Andreas Schneider,unverändert,Schuldiener,Tambach,zu Diethartz,,,,,,,,,,,,,,
827,Superintendentur Ichtershausen,,,Q42145,Johann Balthasar Oschmann,Johann Balthasar Oschmann,unverändert,Superintendent,Ichtershausen,,,,,,,,,,,,,,,
828,Superintendentur Ichtershausen,,,,Johann Anton Gottlieb Göring,Johann Anton Gottlieb Göring,unverändert,Diacon,Ichtershausen,,,,,,,,,,,,,,,
829,Superintendentur Ichtershausen,,,,Nicolaus Heinrich Stetefeld,Nicolaus Heinrich Stetefeld,andere Qualli,Cantor,Ichtershausen,,,,,,,,,,,,,,,
830,Superintendentur Ichtershausen,,,,,Johann Marcus Thomas,neu,Organist,Ichtershausen,,,,,,,,,,Johann,Marcus,,,,Thomas
831,Superintendentur Ichtershausen,,,Q42321,Johann Elias Fritsch,Johann Elias Fritsch,unverändert,Pfarrer,Apfelstädt,und Filiale Dietendorf,,,,,,,,,,,,,,
832,Superintendentur Ichtershausen,,,,Johann Andreas Scheedel,Johann Andreas Scheedel,unverändert,Cantor,Apfelstädt,,,,,,,,,,,,,,,
833,Superintendentur Ichtershausen,,,,Johann August Ortlepp,Johann August Ortlepp,unverändert,Organist,Apfelstädt,,,,,,,,,,,,,,,
834,Superintendentur Ichtershausen,,,,Johann Christian Köhler,Johann Christian Köhler,unverändert,Schuldiener,Apfelstädt,zu Dietendorf,,,,,,,,,,,,,,
835,Superintendentur Ichtershausen,,,Q42542,Johann Mälzer,Johann Mälzer,unverändert,Pfarrer,Bischleben,und Filiale Roda und Erfurtdorf Möbiusburg,,,,,,,,,,,,,,
836,Superintendentur Ichtershausen,,,,Johann Georg Franck,Johann Georg Franck,unverändert,Schuldiener,Bischleben,,,,,,,,,,,,,,,
837,Superintendentur Ichtershausen,,,,Leonard Heinrich Cronefeld,Leonard Heinrich Cronefeld,unverändert,Schuldiener,Bischleben,zu Roda,,,,,,,,,,,,,,
838,Superintendentur Ichtershausen,,,,Georg Friedrich Andreas Treyße,Georg Friedrich Andreas Treyße,unverändert,Pfarrer,Crawinckel,,,,,,,,,,,,,,,
839,Superintendentur Ichtershausen,,,,Johann Caspar Seyfarth,Johann Caspar Seyfarth,unverändert,Cantor,Crawinckel,,,,,,,,,,,,,,,
840,Superintendentur Ichtershausen,,,,Johann Herrmann Köhler,Johann Herrmann Köhler,unverändert,Organist,Crawinckel,,,,,,,,,,,,,,,
841,Superintendentur Ichtershausen,,,Q41937,Heinrich Ernst Lindemann,Heinrich Ernst Lindemann,unverändert,Pfarrer,Eischleben,,,,,,,,,,,,,,,
842,Superintendentur Ichtershausen,,,,Johann Melichor Hopff,Johann Melichor Hopff,unverändert,Schuldiener,Eischleben,,,,,,,,,,,,,,,
843,Superintendentur Ichtershausen,,,,Hironnymus Zink,Hironnymus Zink,unverändert,Substitut,Eischleben,,,,,,,,,,,,,,,
844,Superintendentur Ichtershausen,,,,Johann Nicolaus Schüttwürfel,Johann Nicolaus Schüttwürfel,unverändert,Organist,Eischleben,,,,,,,,,,,,,,,
845,Superintendentur Ichtershausen,,,,Heinrich Wilhelm Beumelburg,Heinrich Wilhelm Beumelburg,unverändert,Pfarrer,Elgersburg,und Filiale Manebach,,,,,,,,,,,,,,
846,Superintendentur Ichtershausen,,,,Johann Georg Rink,Johann Georg Rink,unverändert,Schuldiener,Elgersburg,,,,,,,,,,,,,,,
847,Superintendentur Ichtershausen,,,Q192841,Johann Mathias Schellhorn,Johann Mathias Schellhorn,unverändert,Cantor,Elgersburg,,,,,,,,,,,,,,,
848,Superintendentur Ichtershausen,,,Q42706,Johann Valentin Stötzer,Johann Valentin Stötzer,unverändert,Pfarrer,Frankenhayn,,,,,,,,,,,,,,,
849,Superintendentur Ichtershausen,,,,Jacob Kummer,Jacob Kummer,unverändert,Schuldiener,Frankenhayn,,,,,,,,,,,,,,,
850,Superintendentur Ichtershausen,,,Q41935,Hreinrich Christoph Zahn,Hreinrich Christoph Zahn,unverändert,Pfarrer,Gera,,,,,,,,,,,,,,,
851,Superintendentur Ichtershausen,,,Q192860,Johann Otto Christian Rein,Johann Otto Christian Rein,unverändert,Schuldiener,Gera,,,,,,,,,,,,,,,
852,Superintendentur Ichtershausen,,,Q257417,Johann Ernst Möller,Johann Ernst Möller,unverändert,Pfarrer,Gossel,,,,,,,,,,,,,,,
853,Superintendentur Ichtershausen,,,,Johann Heinrich Wedel,Johann Heinrich Wedel,unverändert,Schuldiener,Gossel,,,,,,,,,,,,,,,
854,Superintendentur Ichtershausen,,,Q41289,Andreas Ernst Richter,Andreas Ernst Richter,unverändert,Pfarrer,Gräfenroda,und Filiale Dörrberg,,,,,,,,,,,,,,
855,Superintendentur Ichtershausen,,,,Johann Christian Cott,Johann Christian Cott,unverändert,Schuldiener,Gräfenroda,,,,,,,,,,,,,,,
856,Superintendentur Ichtershausen,,,Q257577,Johann Heinrich Wenig,Johann Heinrich Wenig,unverändert,Pfarrer,Haarhausen,,,,,,,,,,,,,,,
857,Superintendentur Ichtershausen,,,,Johann Christian Krafft,Johann Christian Krafft,unverändert,Schuldiener,Haarhausen,,,,,,,,,,,,,,,
858,Superintendentur Ichtershausen,,,Q42631,Johann Paul Meyfarth,Johann Paul Meyfarth,andere Qualli,Pfarrer,Holzhausen,und Filiale Bittstädt,,,,,,,,,,,,,,
859,Superintendentur Ichtershausen,,,,Johann Christian Crusius,Johann Christian Crusius,unverändert,Schuldiener,Holzhausen,,,,,,,,,,,,,,,
860,Superintendentur Ichtershausen,,,,Heinrich Christian Crusius,Heinrich Christian Crusius,unverändert,Schuldiener,Holzhausen,zu Bittstädt,,,,,,,,,,,,,,
861,Superintendentur Ichtershausen,,,,Johann Christian Wilhelmi,Johann Christian Wilhelmi,unverändert,Pfarrer,Rettmannshausen,,,,,,,,,,,,,,,
862,Superintendentur Ichtershausen,,,,Johann Heinrich Zink,Johann Heinrich Zink,unverändert,Schuldiener,Rettmannshausen,,,,,,,,,,,,,,,
863,Superintendentur Ichtershausen,,,Q41506,Christian Ludwig Grosch,Christian Ludwig Grosch,unverändert,Pfarrer,Liebenstein,und Filiale Rippersroda,,,,,,,,,,,,,,
864,Superintendentur Ichtershausen,,,,Johann Daniel Grobe,Johann Daniel Grobe,unverändert,Schuldiener,Liebenstein,,,,,,,,,,,,,,,
865,Superintendentur Ichtershausen,,,,Johann Melchior Reumann,Johann Melchior Reumann,unverändert,Schuldiener,Liebenstein,zu Rippersroda,,,,,,,,,,,,,,
866,Superintendentur Ichtershausen,,,Q42329,Johann Ernst Bischoff,Johann Ernst Bischoff,unverändert,Pfarrer,Molßdorf,,,,,,,,,,,,,,,
867,Superintendentur Ichtershausen,,,,Johann Christian Soittel,Johann Christian Soittel,unverändert,Schuldiener,Molßdorf,,,,,,,,,,,,,,,
868,Superintendentur Ichtershausen,,,,Laurentius Müller,Georg Adolph Fischer,neu,Organist,Molßdorf,,,,,,,,,,Georg,Adolph,,,,Fischer
869,Superintendentur Ichtershausen,,,Q42358,Johann Friedrich Frühauf,Johann Friedrich Frühauf,unverändert,Pfarrer,Neudietendorf,,,,,,,,,,,,,,,
870,Superintendentur Ichtershausen,,,,Bernhard Theodor Christlieb Wintzer,Bernhard Theodor Christlieb Wintzer,unverändert,Pfarrer,Neuroda,und Filiale Traßdorf,,,,,,,,,,,,,,
871,Superintendentur Ichtershausen,,,Q78195,Johann  Christoph Rose,Johann  Christoph Rose,unverändert,Schuldiener,Neuroda,,,,,,,,,,,,,,,
872,Superintendentur Ichtershausen,,,,Johann  Heinrich Carl,Johann  Heinrich Carl,unverändert,Schuldiener,Neuroda,zu Neuroda,,,,,,,,,,,,,,
873,Superintendentur Ichtershausen,,,Q42688,Johann Theodor Fritsch,Johann Theodor Fritsch,unverändert,Pfarrer,Stetten,,,,,,,,,,,,,,,
874,Superintendentur Ichtershausen,,,Q41470,Christian Ernst Möller,Christian Ernst Möller,unverändert,Pfarrer,Thörey,und Filiale Rehestädt,,,,,,,,,,,,,,
875,Superintendentur Ichtershausen,,,,Johann Brand ,Johann Brand ,unverändert,Schuldiener,Thörey,,,,,,,,,,,,,,,
876,Superintendentur Ichtershausen,,,,Zacharias Heinrich Brand,Zacharias Heinrich Brand,unverändert,Substitut,Thörey,,,,,,,,,,,,,,,
877,Superintendentur Ichtershausen,,,,Johann Christian Gottlieb Umbreit,Johann Christian Gottlieb Umbreit,unverändert,Schuldiener,Thörey,zu Rehestädt,,,,,,,,,,,,,,
878,Superintendentur Ichtershausen,,,Q42453,Johann Gottlieb Schneider,Johann Gottlieb Schneider,unverändert,Pfarrer,Wölfis,,,,,,,,,,,,,,,
879,Superintendentur Ichtershausen,,,,Johann Georg Lux,Johann Georg Lux,unverändert,Cantor,Wölfis,,,,,,,,,,,,,,,
880,Superintendentur Ichtershausen,,,,Ernst Christian Kast,Ernst Christian Kast,anderer FN,Organist,Wölfis,,,,,,,,,,,,,,,
881,Adjunctur Zella oder Schwarzwald,,,Q41830,Georg Heinrich Sorge,Georg Heinrich Sorge,unverändert,Pfarrer,Zella,Adjunct,,,,,,,,,,,,,,
882,Adjunctur Zella oder Schwarzwald,,,,Johann Heinrich Wedel,Johann Heinrich Wedel,unverändert,Cantor,Zella,,,,,,,,,,,,,,,
883,Adjunctur Zella oder Schwarzwald,,,,Johann Heinrich Schübler,Johann Heinrich Schübler,unverändert,Organist,Zella,,,,,,,,,,,,,,,
884,Adjunctur Zella oder Schwarzwald,,,Q41853,Georg Ludwig Hochgesang,Wilhelm Rudolph Hülfemann,neu,Pfarrer,Gehlberg,,,,,,,,,,Wilhelm,Rudolph,,,,Hülfemann
885,Adjunctur Zella oder Schwarzwald,,,Q43080,Peter Wilhelm Mädel,Peter Wilhelm Mädel,unverändert,Pfarrer,Mehlis,,,,,,,,,,,,,,,
886,Adjunctur Zella oder Schwarzwald,,,,Johann Ortlepp,Johann Ortlepp,unverändert,Cantor,Mehlis,,,,,,,,,,,,,,,
887,Adjunctur Zella oder Schwarzwald,,,,Johann Christoph Ortlepp,Johann Christoph Ortlepp,unverändert,Organist,Mehlis,,,,,,,,,,,,,,,
888,Adjunctur Zella oder Schwarzwald,,,,Johann Nicolaus Schneider,Johann Nicolaus Schneider,unverändert,Schuldiener,Oberhof,,,,,,,,,,,,,,,
889,Adjunctur Zella oder Schwarzwald,,,,Johann Georg Schultz,Johann Georg Schultz,unverändert,Pfarrer,Sturzhaus,,,,,,,,,,,,,,,
890,Adjunctur Zella oder Schwarzwald,,,,Johann Georg Schneider,Johann Georg Schneider,unverändert,Schuldiener,Sturzhaus,,,,,,,,,,,,,,,
891,Inspection Untergleichen,,,,Johann Benjamin Busch,Johann Benjamin Busch,unverändert,Inspector über die Untergleichischen Dorfschaften und dermaliger Diaconus zu Arnstadt,,,,,,,,,,,,,,,,
892,Inspection Untergleichen,,,,Johann Casppar Wehr,Johann Casppar Wehr,unverändert,Pfarrer,Güntersleben,,,,,,,,,,,,,,,
893,Inspection Untergleichen,,,,Johann Heinrich Queck,Johann Heinrich Queck,unverändert,Schuldiener,Güntersleben,,,,,,,,,,,,,,,
894,Inspection Untergleichen,,,Q41661,Ernst Georg Büchner,Ernst Georg Büchner,unverändert,Pfarrer,Ingersleben,,,,,,,,,,,,,,,
895,Inspection Untergleichen,,,,,August Gottlieb Anrreä,neu,Subst.,Ingersleben,,,,,,,,,,August,Gottlieb,,,,Anrreä
896,Inspection Untergleichen,,,,,Johann Heinrich Walter,neu,Schuldiener,Ingersleben,,,,,,,,,,Johann,Heinrich,,,,Walter
897,Inspection Untergleichen,,,,Johann Ludwig Türsch,Johann Ludwig Türsch,unverändert,Pfarrer,Sülzenbrück,und Filiale Kornhochheim,,,,,,,,,,,,,,
898,Inspection Untergleichen,,,,Hieronymus Cott,Hieronymus Cott,unverändert,Schuldiener,Sülzenbrück,,,,,,,,,,,,,,,
899,Inspection Untergleichen,,,,Johann Jacob Strauch,Johann Jacob Strauch,unverändert,Schuldiener,Sülzenbrück,zu Kornhochheim,,,,,,,,,,,,,,
900,Superintendentue Wangenheim,,,Q42407,Johann Georg Gerlach,Johann Georg Gerlach,unverändert,Superintendent,Wangenheim,,,,,,,,,,,,,,,
901,Superintendentue Wangenheim,,,,Johann Tobias Riem,Johann Tobias Riem,unverändert,Cantor,Wangenheim,,,,,,,,,,,,,,,
902,Superintendentue Wangenheim,,,Q41837,Georg Julius Hocker,Georg Julius Hocker,unverändert,Pfarrer,Grossenbehringen,und eingepfarrten Dorf Heßwinkel,,,,,,,,,,,,,,
903,Superintendentue Wangenheim,,,,Johann Jacob Reich,Johann Jacob Reich,unverändert,Schuldiener,Grossenbehringen,,,,,,,,,,,,,,,
904,Superintendentue Wangenheim,,,Q42242,Johann Christian Streng,Johann Christian Streng,unverändert,Pfarrer,Hayna,,,,,,,,,,,,,,,
905,Superintendentue Wangenheim,,,,Friedrich Heinrich Burckard,Friedrich Heinrich Burckard,unverändert,Schuldiener,Hayna,,,,,,,,,,,,,,,
906,Superintendentue Wangenheim,,,Q42240,Johann Christian Schönau,Johann Christian Schönau,unverändert,Pfarrer,Hochheim,,,,,,,,,,,,,,,
907,Superintendentue Wangenheim,,,,Caspar Andreas Brohm,Caspar Andreas Brohm,unverändert,Schuldiener,Hochheim,,,,,,,,,,,,,,,
908,Superintendentue Wangenheim,,,Q42408,Johann Georg Hartmann,Johann Georg Hartmann,unverändert,Pfarrer,Nordhofen,und Filiale Metebach,,,,,,,,,,,,,,
909,Superintendentue Wangenheim,,,,Johann Heinrich Braun,Johann Heinrich Braun,unverändert,Schuldiener,Nordhofen,,,,,,,,,,,,,,,
910,Superintendentue Wangenheim,,,Q42427,Johann Georg Weißenborn,Johann Georg Weißenborn,unverändert,Pfarrer,Oesterbehringen,,,,,,,,,,,,,,,
911,Superintendentue Wangenheim,,,,Wilhelm Hieronymus Albrecht,Wilhelm Hieronymus Albrecht,unverändert,Schuldiener,Oesterbehringen,,,,,,,,,,,,,,,
912,Superintendentue Wangenheim,,,,Valentin Cott,Valentin Cott,unverändert,Schuldiener,Oesterbehringen,zu Reichenbach,,,,,,,,,,,,,,
913,Superintendentue Wangenheim,,,,,Johann Christian Sänger,neu,Pfarrer,Pfullendorf,,,,,,,,,,Johann,Christian,,,,Sänger
914,Superintendentue Wangenheim,,,,Valentin Böttner,Valentin Böttner,unverändert,Schuldiener,Pfullendorf,,,,,,,,,,,,,,,
915,Superintendentue Wangenheim,,,,Johann Andreas Böttner,Johann Andreas Böttner,unverändert,Substitut,Pfullendorf,,,,,,,,,,,,,,,
916,Superintendentue Wangenheim,,,,Friedrich August Kerstenbbruch,Friedrich August Kerstenbbruch,unverändert,Pfarrer,Tüngeda,,,,,,,,,,,,,,,
917,Superintendentue Wangenheim,,,,Johann Andreas Schmidt,Johann Andreas Schmidt,unverändert,Schuldiener,Tüngeda,,,,,,,,,,,,,,,
918,Superintendentue Wangenheim,,,Q42114,Johann Andreas Lencer,Johann Andreas Lencer,unverändert,Pfarrer,Westhausen,,,,,,,,,,,,,,,
919,Superintendentue Wangenheim,,,Q156969,Johann Christian Lencer,Johann Christian Lencer,unverändert,Schuldiener,Westhausen,,,,,,,,,,,,,,,
920,Superintendentue Wangenheim,,,Q41517,Christian Wilhelm Gerlach,Christian Wilhelm Gerlach,unverändert,Pfarrer,Wolfsbehringen,und Filiale Hütscheroda,,,,,,,,,,,,,,
921,Superintendentue Wangenheim,,,,Johann Stegmann,Johann Stegmann,unverändert,Schuldiener,Wolfsbehringen,,,,,,,,,,,,,,,
922,Inspection Hopfgarten,,,Q41837,Georg Julius Hocker,Georg Julius Hocker,unverändert,Pfarrer,Adjunctus zu Großenbehringen,,,,,,,,,,,,,,,
923,Inspection Hopfgarten,,,Q42622,Johann Nicolaus Rudolph,Johann Nicolaus Rudolph,unverändert,Pfarrer,Craula,,,,,,,,,,,,,,,
924,Inspection Hopfgarten,,,,Johann Heinrich Cayser,Johann Heinrich Kayser,anderer FN,Schuldiener,Craula,,,,,,,,,,,,,,,
925,Inspection Hopfgarten,,,Q42497,Johann Heinrich Stötzer,Johann Heinrich Stötzer,unverändert,Pfarrer,Ebenheim,und Filiale Weingarten,,,,,,,,,,,,,,
926,Inspection Hopfgarten,,,,Johann Christoph Schleip,Johann Christoph Schleip,unverändert,Schuldiener,Ebenheim,,,,,,,,,,,,,,,
927,Inspection Hopfgarten,,,,Johann Georg Hellmund,Johann Georg Hellmund,unverändert,Schuldiener,Ebenheim,zu Weingarten,,,,,,,,,,,,,,
928,Inspection Hopfgarten,,,,Johann Wilhelm Eckard,Johann Wilhelm Eckard,unverändert,Pfarrer,Frankenroda,und Filiale Ebenshausen,,,,,,,,,,,,,,
929,Inspection Hopfgarten,,,,Johann Friedrich Critzmann,Johann Friedrich Critzmann,unverändert,Schuldiener,Frankenroda,,,,,,,,,,,,,,,
930,Inspection Hopfgarten,,,,Friedrich Wilhelm Rausch,Friedrich Wilhelm Rausch,unverändert,Schuldiener,Frankenroda,zu Ebenshausen,,,,,,,,,,,,,,
931,Inspection Hopfgarten,,,,Johann Hartmann Dittmar,Johann Hartmann Dittmar,unverändert,Pfarrer,Lauterbach,davon die mater Mihla in Eisenachschen,,,,,,,,,,,,,,
932,Inspection Hopfgarten,,,,Johann Bischof,Johann Bischof,unverändert,Schuldiener,Lauterbach,,,,,,,,,,,,,,,
933,Inspection Hopfgarten,,,,Johann Wilhelm Schröder,Johann Wilhelm Schröder,unverändert,Pfarrer,Nazza,und Filiale Hallungen,,,,,,,,,,,,,,
934,Inspection Hopfgarten,,,,Johann Friedrich Hild,Johann Friedrich Hild,unverändert,Schuldiener,Nazza,,,,,,,,,,,,,,,
935,Inspection Hopfgarten,,,,Johann Georg Christian Dufft,Johann Georg Christian Dufft,unverändert,Schuldiener,Nazza,zu Hallungen,,,,,,,,,,,,,,
936,Inspection Hopfgarten,,,Q41493,Christian Gotthold August Cossius,Christian Gotthold August Cossius,unverändert,Pfarrer,Neukirchen,"und den Eisenachiichen Filialen Streckta, Hätzelsroda und Berteroda",,,,,,,,,,,,,,
937,Inspection Hopfgarten,,,,Ernst Christoph Koch,Ernst Christoph Koch,unverändert,Schuldiener,Neukirchen,,,,,,,,,,,,,,,
938,Superintendentur Tonna,,,,,Johann Friedrich Hochgesang,neu,Pfarrer,Tonna,Superintendent,,,,,,,,,Johann,Friedrich,,,,Hochgesang
939,Superintendentur Tonna,,,,Gottfried Friedrich Bernsbach,Gottfried Friedrich Bernsbach,unverändert,Diaconus,Tonna,,,,,,,,,,,,,,,
940,Superintendentur Tonna,,,,Heinrich Wilhelm Schnetter,Heinrich Wilhelm Schnetter,unverändert,Cantor,Tonna,,,,,,,,,,,,,,,
941,Superintendentur Tonna,,,,Georg Wilhelm Kirchner,Georg Wilhelm Kirchner,unverändert,Organist,Tonna,,,,,,,,,,,,,,,
942,Superintendentur Tonna,,,,Johann Michael Siefarth,Johann Michael Siefarth,andere Qualli,Schuldiener,Kirchner,Tonna,,,,,,,,,,,,,,
943,Superintendentur Tonna,,,Q41835,Georg Jacob Füldner,Georg Jacob Füldner,unverändert,Pfarrer,Aschara,Superintendent,,,,,,,,,,,,,,
944,Superintendentur Tonna,,,,Johann Christoph Malsch,Johann Christoph Malsch,unverändert,Schuldiener,Aschara,,,,,,,,,,,,,,,
945,Superintendentur Tonna,,,Q42363,Johann Friedrich Hochgesang,Friedrich Georg Ostückenberg,neu,Pfarrer,Bienstädt,,,,,,,,,,Friedrich,Georg,,,,Ostückenberg
946,Superintendentur Tonna,,,,Johann Heinrich Roth,Johann Heinrich Roth,unverändert,Schuldiener,Bienstädt,,,,,,,,,,,,,,,
947,Superintendentur Tonna,,,Q42217,Johann Christian Härter,Johann Christian Härter,unverändert,Pfarrer,Burgtonna,,,,,,,,,,,,,,,
948,Superintendentur Tonna,,,,Johann Christoph Sänger,Johann Christoph Sänger,unverändert,Cantor,Burgtonna,,,,,,,,,,,,,,,
949,Superintendentur Tonna,,,Q191306,Johann Michael Sänger,Johann Michael Sänger,unverändert,Organist,Burgtonna,,,,,,,,,,,,,,,
950,Superintendentur Tonna,,,Q42352,Johann Friedrich Bomberg,Johann Friedrich Bomberg,unverändert,Pfarrer,Döllstädt,,,,,,,,,,,,,,,
951,Superintendentur Tonna,,,Q78386,Johann Nicolaus Lorenz,Johann Nicolaus Lorenz,unverändert,Cantor,Döllstädt,,,,,,,,,,,,,,,
952,Superintendentur Tonna,,,,Johann Jacob Freyboth,Johann Jacob Freyboth,unverändert,Organist,Döllstädt,,,,,,,,,,,,,,,
953,Superintendentur Tonna,,,Q42150,Johann Bartholommäus Rahardt,Friedrich Christian Ernst Reusch,neu,Pfarrer,Eckardsleben,,,,,,,,,,Friedrich,Christian,Ernst,,,Reusch
954,Superintendentur Tonna,,,,Johann Gottlieb Franck,Johann Gottlieb Franck,unverändert,Schuldiener,Eckardsleben,,,,,,,,,,,,,,,
955,Superintendentur Tonna,,,Q42261,Johann Christoph Hahn,Johann Christoph Hahn,unverändert,Pfarrer,Illeben,,,,,,,,,,,,,,,
956,Superintendentur Tonna,,,,Johann Conrad Heß,Johann Conrad Heß,unverändert,Schuldiener,Illeben,,,,,,,,,,,,,,,
957,Superintendentur Tonna,,,,Jacob Heinrich Gebhardt,Jacob Heinrich Gebhardt,unverändert,Pfarrer,Töttelstädt,,,,,,,,,,,,,,,
958,Superintendentur Tonna,,,,Johann Mathäus Rohner,Johann Mathäus Röhner,anderer FN,Organist,Töttelstädt,,,,,,,,,,,,,,,
959,Superintendentur Tonna,,,,Georg Wilhelm Kerrst,Georg Wilhelm Kerrst,unverändert,Schuldiener,Töttelstädt,,,,,,,,,,,,,,,
960,Superintendentur Cranichfeld,,,,Adam Friedrich Jacobi,Adam Friedrich Jacobi,unverändert,Superintendent,Cranichfeld,,,,,,,,,,,,,,,
961,Superintendentur Cranichfeld,,,,Martin Heinrich Kirsten,Martin Heinrich Kirsten,unverändert,Diaconus,Cranichfeld,Pfarrer auf den Filial Stedten,,,,,,,,,,,,,,
962,Superintendentur Cranichfeld,,,,Christian Heinrich Möller,Christian Heinrich Möller,unverändert,Rector ,Cranichfeld,,,,,,,,,,,,,,,
963,Superintendentur Cranichfeld,,,,Johann Georg Gebhardt,Johann Georg Gebhardt,unverändert,Cantor,Cranichfeld,,,,,,,,,,,,,,,
964,Superintendentur Cranichfeld,,,,Michael Ernst Wolframm,Michael Ernst Wolframm,unverändert,Schuldiener zu Stedten,Cranichfeld,,,,,,,,,,,,,,,
965,Superintendentur Cranichfeld,,,Q42133,Johann August Schönau,Johann August Schönau,unverändert,Pfarrer,Achelstädt,Filiale Barchfeld,,,,,,,,,,,,,,
966,Superintendentur Cranichfeld,,,,Conrad Pabst,Conrad Pabst,unverändert,Schuldiener,Achelstädt,,,,,,,,,,,,,,,
967,Superintendentur Cranichfeld,,,,Ernst Heyge,Ernst Heyge,unverändert,Schuldiener zu Barchfeld,Achelstädt,,,,,,,,,,,,,,,
968,Superintendentur Cranichfeld,,,,Johann Adolph Jacobi,Johann Adolph Jacobi,unverändert,Pfarrer auf dem Filial Milbitz,Groß-Kochberg,,,,,,,,,,,,,,,
969,Superintendentur Cranichfeld,,,,Johann Georg Greßler,Johann Georg Greßler,unverändert,Schuldiener,Groß-Kochberg,,,,,,,,,,,,,,,
970,Superintendentur Cranichfeld,,,,Johann Christian Schulze,Johann Christian Schulze,unverändert,Schuldiener zu Milbitz,Groß-Kochberg,,,,,,,,,,,,,,,
971,Superintendentur Cranichfeld,,,Q78233,Johann Friedrich Göring,Johann Friedrich Göring,unverändert,Pfarrer auf dem Filial Meckfeld,Milda,,,,,,,,,,,,,,,
972,Superintendentur Cranichfeld,,,,Johann Ernst Göring,Johann Ernst Göring,unverändert,Substitut,Milda,,,,,,,,,,,,,,,
973,Superintendentur Cranichfeld,,,,Johann Theodor Andreas Pabst,Johann Theodor Andreas Pabst,unverändert,Schuldiener,Milda,,,,,,,,,,,,,,,
974,Superintendentur Cranichfeld,,,Q161871,Johann Christian Treiber,Johann Christian Treiber,unverändert,Pfarrer,Osthausen,,,,,,,,,,,,,,,
975,Superintendentur Cranichfeld,,,,Georg Christoph Bachstein,Georg Christoph Bachstein,unverändert,Schuldiener,Osthausen,,,,,,,,,,,,,,,
976,Superintendentur Cranichfeld,,,,M. Ludwig Friedrich Cellarius. ,M. Ludwig Friedrich Cellarius. ,unverändert,Diaconus zu Rudolstadt,"Pfarrer zu Pflanzwirbach und den eigepfarrten Dorfschaften Geitersdorf, Ammelstädt und Mörla",,,,,,,,Magister,,,,,,,
977,Superintendentur Cranichfeld,,,,Heinrich Carl Reitschmidt,Heinrich Carl Reitschmidt,unverändert,Schuldiener zu Pflanzwirbach ,Pflanzwirbach,,,,,,,,,,,,,,,
978,Superintendentur Cranichfeld,,,,Wilhelm Gottfried Möller,Georg Ludwig Hochgesang,neu,Pfarrer und dem Filial Gügleben,Richheim,,,,,,,,,,Georg,Ludwig,,,,Hochgesang
